Date : 2022-03-22 23:21:16
Directory : /home/ubuntu/IB2TF
Total : 76 files,  2240 codes, 138 comments, 422 blanks, all 2800 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| Test/Sod/.VSCodeCounter/2022-03-17_11-13-29                                           |          5 |         62 |          0 |         26 |         88 |
| Test/Sod/.VSCodeCounter/2022-03-17_11-24-25                                           |          5 |         61 |          0 |         26 |         87 |
| Test/Sod/.VSCodeCounter/2022-03-18_19-33-16                                           |          5 |         83 |          0 |         26 |        109 |
| Test/Sod/.VSCodeCounter/2022-03-18_19-33-38                                           |          5 |         56 |          0 |         26 |         82 |
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                              | language | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /home/ubuntu/IB2TF/Src/Base/Advance/Lax/Lax_Scheme.cpp                                | C++      |         68 |          9 |          6 |         83 |
| /home/ubuntu/IB2TF/Src/Base/Advance/MUSCL/MUSCL_Scheme.cpp                            | C++      |        112 |          0 |          7 |        119 |
| /home/ubuntu/IB2TF/Src/Base/Common/ComputeDt.cpp                                      | C++      |         37 |          0 |          3 |         40 |
| /home/ubuntu/IB2TF/Src/Base/Common/Conserve2Flux.cpp                                  | C++      |         32 |          0 |          4 |         36 |
| /home/ubuntu/IB2TF/Src/Base/Riemann/HLL/Riemann_solver.cpp                            | C++      |         99 |          0 |          7 |        106 |
| /home/ubuntu/IB2TF/Src/Base/Slope_limiter/minmod/Slope_limiter.cpp                    | C++      |         15 |          0 |          0 |         15 |
| /home/ubuntu/IB2TF/Src/BoundaryCondition/BaseGFM/GFM_Bound.cpp                        | C++      |        106 |         40 |          8 |        154 |
| /home/ubuntu/IB2TF/Src/BoundaryCondition/BaseGFM/GFM_Method.cpp                       | C++      |        110 |         29 |          7 |        146 |
| /home/ubuntu/IB2TF/Src/BoundaryCondition/Regular/RegularBound.cpp                     | C++      |         52 |         13 |          5 |         70 |
| /home/ubuntu/IB2TF/Src/BoundaryCondition/SimpleBound/LS_SimpleBound.cpp               | C++      |        116 |          2 |          7 |        125 |
| /home/ubuntu/IB2TF/Src/BoundaryCondition/SimpleBound/Scheme_Index.cpp                 | C++      |         63 |          0 |          4 |         67 |
| /home/ubuntu/IB2TF/Src/Geometry/Level_Set.cpp                                         | C++      |        120 |          2 |         11 |        133 |
| /home/ubuntu/IB2TF/Src/Geometry/Mirror_IDX.cpp                                        | C++      |         29 |          1 |          3 |         33 |
| /home/ubuntu/IB2TF/Src/Geometry/Psy_coord.cpp                                         | C++      |         26 |          0 |          2 |         28 |
| /home/ubuntu/IB2TF/Src/Utils/ParamReader.cpp                                          | C++      |         67 |          2 |          9 |         78 |
| /home/ubuntu/IB2TF/Src/Utils/WriteData.cpp                                            | C++      |         43 |         33 |          2 |         78 |
| /home/ubuntu/IB2TF/Src/Utils/WriteIDX2TXT.cpp                                         | C++      |         33 |          0 |          3 |         36 |
| /home/ubuntu/IB2TF/Src/Utils/Write_LS.cpp                                             | C++      |         64 |          0 |          4 |         68 |
| /home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-17_11-05-02/details.md      | Markdown |         21 |          0 |          6 |         27 |
| /home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-17_11-05-02/diff-details.md | Markdown |         10 |          0 |          6 |         16 |
| /home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-17_11-05-02/diff.md         | Markdown |         14 |          0 |          7 |         21 |
| /home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-17_11-05-02/results.json    | JSON     |          1 |          0 |          0 |          1 |
| /home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-17_11-05-02/results.md      | Markdown |         15 |          0 |          7 |         22 |
| /home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-17_11-13-29/details.md      | Markdown |         21 |          0 |          6 |         27 |
| /home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-17_11-13-29/diff-details.md | Markdown |         11 |          0 |          6 |         17 |
| /home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-17_11-13-29/diff.md         | Markdown |         14 |          0 |          7 |         21 |
| /home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-17_11-13-29/results.json    | JSON     |          1 |          0 |          0 |          1 |
| /home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-17_11-13-29/results.md      | Markdown |         15 |          0 |          7 |         22 |
| /home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-17_11-24-25/details.md      | Markdown |         21 |          0 |          6 |         27 |
| /home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-17_11-24-25/diff-details.md | Markdown |         10 |          0 |          6 |         16 |
| /home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-17_11-24-25/diff.md         | Markdown |         14 |          0 |          7 |         21 |
| /home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-17_11-24-25/results.json    | JSON     |          1 |          0 |          0 |          1 |
| /home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-17_11-24-25/results.md      | Markdown |         15 |          0 |          7 |         22 |
| /home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-18_19-33-16/details.md      | Markdown |         15 |          0 |          6 |         21 |
| /home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-18_19-33-16/diff-details.md | Markdown |         27 |          0 |          6 |         33 |
| /home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-18_19-33-16/diff.md         | Markdown |         21 |          0 |          7 |         28 |
| /home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-18_19-33-16/results.json    | JSON     |          1 |          0 |          0 |          1 |
| /home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-18_19-33-16/results.md      | Markdown |         19 |          0 |          7 |         26 |
| /home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-18_19-33-38/details.md      | Markdown |         15 |          0 |          6 |         21 |
| /home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-18_19-33-38/diff-details.md | Markdown |          9 |          0 |          6 |         15 |
| /home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-18_19-33-38/diff.md         | Markdown |         12 |          0 |          7 |         19 |
| /home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-18_19-33-38/results.json    | JSON     |          1 |          0 |          0 |          1 |
| /home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-18_19-33-38/results.md      | Markdown |         19 |          0 |          7 |         26 |
| /home/ubuntu/IB2TF/Test/InclineSod/InclineSod.cpp                                     | C++      |        103 |          3 |         19 |        125 |
| /home/ubuntu/IB2TF/Test/InclineSod/Initialize.cpp                                     | C++      |         57 |          0 |          2 |         59 |
| /home/ubuntu/IB2TF/Test/InclineSod/Level_Set_function.cpp                             | C++      |         25 |          1 |          3 |         29 |
| /home/ubuntu/IB2TF/Test/InclineSod/Makefile                                           | Makefile |         32 |          0 |         11 |         43 |
| /home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-17_11-05-02/details.md             | Markdown |         21 |          0 |          6 |         27 |
| /home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-17_11-05-02/diff-details.md        | Markdown |         10 |          0 |          6 |         16 |
| /home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-17_11-05-02/diff.md                | Markdown |         14 |          0 |          7 |         21 |
| /home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-17_11-05-02/results.json           | JSON     |          1 |          0 |          0 |          1 |
| /home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-17_11-05-02/results.md             | Markdown |         15 |          0 |          7 |         22 |
| /home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-17_11-13-29/details.md             | Markdown |         21 |          0 |          6 |         27 |
| /home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-17_11-13-29/diff-details.md        | Markdown |         11 |          0 |          6 |         17 |
| /home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-17_11-13-29/diff.md                | Markdown |         14 |          0 |          7 |         21 |
| /home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-17_11-13-29/results.json           | JSON     |          1 |          0 |          0 |          1 |
| /home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-17_11-13-29/results.md             | Markdown |         15 |          0 |          7 |         22 |
| /home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-17_11-24-25/details.md             | Markdown |         21 |          0 |          6 |         27 |
| /home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-17_11-24-25/diff-details.md        | Markdown |         10 |          0 |          6 |         16 |
| /home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-17_11-24-25/diff.md                | Markdown |         14 |          0 |          7 |         21 |
| /home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-17_11-24-25/results.json           | JSON     |          1 |          0 |          0 |          1 |
| /home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-17_11-24-25/results.md             | Markdown |         15 |          0 |          7 |         22 |
| /home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-18_19-33-16/details.md             | Markdown |         15 |          0 |          6 |         21 |
| /home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-18_19-33-16/diff-details.md        | Markdown |         27 |          0 |          6 |         33 |
| /home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-18_19-33-16/diff.md                | Markdown |         21 |          0 |          7 |         28 |
| /home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-18_19-33-16/results.json           | JSON     |          1 |          0 |          0 |          1 |
| /home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-18_19-33-16/results.md             | Markdown |         19 |          0 |          7 |         26 |
| /home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-18_19-33-38/details.md             | Markdown |         15 |          0 |          6 |         21 |
| /home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-18_19-33-38/diff-details.md        | Markdown |          9 |          0 |          6 |         15 |
| /home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-18_19-33-38/diff.md                | Markdown |         12 |          0 |          7 |         19 |
| /home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-18_19-33-38/results.json           | JSON     |          1 |          0 |          0 |          1 |
| /home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-18_19-33-38/results.md             | Markdown |         19 |          0 |          7 |         26 |
| /home/ubuntu/IB2TF/Test/Sod/Initialize.cpp                                            | C++      |         46 |          2 |          0 |         48 |
| /home/ubuntu/IB2TF/Test/Sod/Level_Set_function.cpp                                    | C++      |          9 |          0 |          4 |         13 |
| /home/ubuntu/IB2TF/Test/Sod/Makefile                                                  | Makefile |         31 |          0 |         13 |         44 |
| /home/ubuntu/IB2TF/Test/Sod/Sod.cpp                                                   | C++      |         99 |          1 |         18 |        118 |
| Total                                                                                 |          |      2,240 |        138 |        422 |      2,800 |
+---------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
