Date : 2022-03-22 23:21:16
Directory : /home/ubuntu/IB2TF
Total : 76 files,  2240 codes, 138 comments, 422 blanks, all 2800 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |         24 |      1,531 |        138 |        138 |      1,807 |
| Markdown |         40 |        636 |          0 |        260 |        896 |
| Makefile |          2 |         63 |          0 |         24 |         87 |
| JSON     |         10 |         10 |          0 |          0 |         10 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                     |         76 |      2,240 |        138 |        422 |      2,800 |
| Src                                                                                   |         18 |      1,192 |        131 |         92 |      1,415 |
| Src/Base                                                                              |          6 |        363 |          9 |         27 |        399 |
| Src/Base/Advance                                                                      |          2 |        180 |          9 |         13 |        202 |
| Src/Base/Advance/Lax                                                                  |          1 |         68 |          9 |          6 |         83 |
| Src/Base/Advance/MUSCL                                                                |          1 |        112 |          0 |          7 |        119 |
| Src/Base/Common                                                                       |          2 |         69 |          0 |          7 |         76 |
| Src/Base/Riemann                                                                      |          1 |         99 |          0 |          7 |        106 |
| Src/Base/Riemann/HLL                                                                  |          1 |         99 |          0 |          7 |        106 |
| Src/Base/Slope_limiter                                                                |          1 |         15 |          0 |          0 |         15 |
| Src/Base/Slope_limiter/minmod                                                         |          1 |         15 |          0 |          0 |         15 |
| Src/BoundaryCondition                                                                 |          5 |        447 |         84 |         31 |        562 |
| Src/BoundaryCondition/BaseGFM                                                         |          2 |        216 |         69 |         15 |        300 |
| Src/BoundaryCondition/Regular                                                         |          1 |         52 |         13 |          5 |         70 |
| Src/BoundaryCondition/SimpleBound                                                     |          2 |        179 |          2 |         11 |        192 |
| Src/Geometry                                                                          |          3 |        175 |          3 |         16 |        194 |
| Src/Utils                                                                             |          4 |        207 |         35 |         18 |        260 |
| Test                                                                                  |         58 |      1,048 |          7 |        330 |      1,385 |
| Test/InclineSod                                                                       |         29 |        540 |          4 |        165 |        709 |
| Test/InclineSod/.VSCodeCounter                                                        |         25 |        323 |          0 |        130 |        453 |
| Test/InclineSod/.VSCodeCounter/2022-03-17_11-05-02                                    |          5 |         61 |          0 |         26 |         87 |
| Test/InclineSod/.VSCodeCounter/2022-03-17_11-13-29                                    |          5 |         62 |          0 |         26 |         88 |
| Test/InclineSod/.VSCodeCounter/2022-03-17_11-24-25                                    |          5 |         61 |          0 |         26 |         87 |
| Test/InclineSod/.VSCodeCounter/2022-03-18_19-33-16                                    |          5 |         83 |          0 |         26 |        109 |
| Test/InclineSod/.VSCodeCounter/2022-03-18_19-33-38                                    |          5 |         56 |          0 |         26 |         82 |
| Test/Sod                                                                              |         29 |        508 |          3 |        165 |        676 |
| Test/Sod/.VSCodeCounter                                                               |         25 |        323 |          0 |        130 |        453 |
| Test/Sod/.VSCodeCounter/2022-03-17_11-05-02                                           |          5 |         61 |          0 |         26 |         87 |
